case,mode,n,min_ms,median_ms,p90_ms,max_ms
alice_001,FGAC,6,2382.4,2422.9,2455.0,2500.3
alice_001,FGAC-LZ4,6,2334.2,2438.7,2516.4,2546.8
alice_001,FGAC-ZSTD,6,2394.5,2525.5,2590.8,2629.6
alice_001,NATIVE,6,2744.6,2829.4,2915.3,3053.6
alice_01,FGAC,6,2428.5,2448.6,2499.6,2531.6
alice_01,FGAC-LZ4,6,2380.8,2477.1,2528.3,2566.5
alice_01,FGAC-ZSTD,6,2375.2,2442.6,2499.9,2596.5
alice_01,NATIVE,6,2738.1,2884.5,2905.2,2908.9
alice_1,FGAC,6,2445.6,2497.6,2527.7,2559.5
alice_1,FGAC-LZ4,6,2423.0,2470.1,2486.8,2543.2
alice_1,FGAC-ZSTD,6,2382.0,2465.3,2502.1,2515.6
alice_1,NATIVE,6,2722.6,2904.3,2952.3,2992.0
alice_1_0,FGAC,6,2477.5,2548.2,2549.5,2603.6
alice_1_0,FGAC-LZ4,6,2485.7,2571.9,2614.1,2643.0
alice_1_0,FGAC-ZSTD,6,2511.1,2591.2,2633.6,2987.0
alice_1_0,NATIVE,6,2667.5,2779.6,2808.5,2834.3
alice_5,FGAC,6,2462.0,2515.5,2605.5,2638.9
alice_5,FGAC-LZ4,6,2475.2,2524.1,2638.7,2648.4
alice_5,FGAC-ZSTD,6,2448.9,2477.2,2514.9,2575.5
alice_5,NATIVE,6,2853.1,2907.7,2963.2,3130.3
bench_full_001,FGAC,6,3648.4,3772.1,3993.8,4033.3
bench_full_001,FGAC-LZ4,6,3655.2,3745.3,3880.6,3952.3
bench_full_001,FGAC-ZSTD,6,3525.1,3728.0,3970.2,4029.1
bench_full_001,NATIVE,6,3926.8,4031.8,4111.2,4268.2
bench_full_01,FGAC,6,3528.0,3693.0,3752.0,3793.5
bench_full_01,FGAC-LZ4,6,3637.5,3750.1,3803.2,3902.7
bench_full_01,FGAC-ZSTD,6,3621.3,3740.1,3815.9,3845.9
bench_full_01,NATIVE,6,3963.4,4042.7,4089.5,4128.3
bench_full_1,FGAC,6,4571.0,4772.7,4872.2,4874.5
bench_full_1,FGAC-LZ4,6,4679.3,4817.9,4933.0,5027.0
bench_full_1,FGAC-ZSTD,6,4440.9,4832.6,4964.2,5077.0
bench_full_1,NATIVE,6,4612.8,4720.7,4860.7,4927.7
bench_full_1_0,FGAC,6,13141.7,14048.4,14301.5,14959.3
bench_full_1_0,FGAC-LZ4,6,13192.2,13477.9,13603.7,14157.6
bench_full_1_0,FGAC-ZSTD,6,13109.2,14079.6,15224.0,15311.7
bench_full_1_0,NATIVE,6,9541.2,9791.1,10143.0,10695.7
bench_full_5,FGAC,6,9455.2,9695.0,9875.8,9936.3
bench_full_5,FGAC-LZ4,6,9216.6,9627.5,10053.0,10078.3
bench_full_5,FGAC-ZSTD,6,9365.9,9777.5,9962.0,10034.7
bench_full_5,NATIVE,6,7439.0,7755.7,7867.5,8078.3
bob_001,FGAC,6,2410.7,2445.4,2505.9,2630.6
bob_001,FGAC-LZ4,6,2377.5,2448.3,2504.9,2527.0
bob_001,FGAC-ZSTD,6,2409.9,2459.3,2480.9,2521.2
bob_001,NATIVE,6,2834.7,2933.3,2983.3,3021.4
bob_01,FGAC,6,2349.3,2454.2,2490.6,2571.0
bob_01,FGAC-LZ4,6,2343.7,2415.6,2470.5,2606.8
bob_01,FGAC-ZSTD,6,2425.7,2474.7,2492.1,2504.1
bob_01,NATIVE,6,2844.1,2905.7,2915.2,3016.6
bob_1,FGAC,6,2440.2,2487.1,2519.7,2563.1
bob_1,FGAC-LZ4,6,2431.6,2479.8,2491.4,2536.8
bob_1,FGAC-ZSTD,6,2409.8,2460.9,2490.9,2498.3
bob_1,NATIVE,6,2836.8,2927.9,2976.8,3228.5
bob_1_0,FGAC,6,2457.0,2560.3,2617.1,2724.9
bob_1_0,FGAC-LZ4,6,2459.8,2538.9,2552.6,2686.1
bob_1_0,FGAC-ZSTD,6,2527.8,2595.8,2616.8,2617.2
bob_1_0,NATIVE,6,2785.6,2800.4,2880.5,2885.2
bob_5,FGAC,6,2456.7,2536.5,2580.1,2618.7
bob_5,FGAC-LZ4,6,2455.0,2509.7,2598.3,2604.5
bob_5,FGAC-ZSTD,6,2508.3,2547.4,2634.8,2641.0
bob_5,NATIVE,6,2939.5,3020.5,3090.0,3182.1
