case,mode,n,min_ms,median_ms,p90_ms,max_ms
alice_001,NATIVE,6,2729.9,2877.4,2884.2,2932.2
alice_001,FGAC,6,2537.3,2638.9,2662.3,2666.5
alice_001,INLINE,6,2612.0,2726.9,2772.6,2773.4
alice_01,NATIVE,6,2785.9,2916.6,3062.3,3110.2
alice_01,FGAC,6,2552.1,2582.1,2613.2,2878.9
alice_01,INLINE,6,2663.1,2716.5,2730.5,2735.7
alice_1,NATIVE,6,2785.0,2842.1,2921.6,3016.9
alice_1,FGAC,6,2570.0,2625.1,2704.5,2734.0
alice_1,INLINE,6,2638.0,2700.8,2739.3,2770.9
alice_1_0,NATIVE,6,2712.3,2839.0,2842.6,3040.3
alice_1_0,FGAC,6,2660.5,2741.6,2810.4,2836.4
alice_1_0,INLINE,6,2593.5,2671.6,2689.6,2724.3
alice_5,NATIVE,6,2848.2,2919.8,2974.9,3058.2
alice_5,FGAC,6,2604.0,2711.2,2779.4,2790.5
alice_5,INLINE,6,2691.5,2764.9,2805.4,2830.1
bench_full_001,NATIVE,6,3834.4,3966.4,4062.5,4128.8
bench_full_001,FGAC,6,4008.7,4080.2,4297.7,4322.4
bench_full_001,INLINE,6,3892.4,3924.8,3935.5,4028.6
bench_full_01,NATIVE,6,3873.4,4046.5,4177.3,4177.6
bench_full_01,FGAC,6,3923.7,3993.5,4153.0,4273.8
bench_full_01,INLINE,6,3860.1,4001.2,4019.5,4036.8
bench_full_1,NATIVE,6,4576.7,4712.1,4803.6,4888.7
bench_full_1,FGAC,6,5140.1,5200.4,5349.3,5403.1
bench_full_1,INLINE,6,4501.6,4719.1,4795.4,4861.2
bench_full_1_0,NATIVE,6,9541.6,9692.2,10068.5,10108.5
bench_full_1_0,FGAC,6,14494.1,15252.3,15397.5,15614.4
bench_full_1_0,INLINE,6,9583.5,9750.9,9934.9,9993.9
bench_full_5,NATIVE,6,7502.9,7698.0,7776.8,8025.9
bench_full_5,FGAC,6,9983.0,10424.0,10499.1,10637.1
bench_full_5,INLINE,6,7348.0,7435.7,7608.7,7863.4
bob_001,NATIVE,6,2875.7,2939.0,2967.8,3165.7
bob_001,FGAC,6,2517.2,2615.9,2727.7,2822.0
bob_001,INLINE,6,2611.4,2731.9,2744.6,2767.3
bob_01,NATIVE,6,2860.7,2943.6,2966.5,3017.8
bob_01,FGAC,6,2503.0,2595.4,2691.7,2713.9
bob_01,INLINE,6,2608.6,2706.9,2745.0,2798.0
bob_1,NATIVE,6,2939.7,3006.4,3019.8,3136.8
bob_1,FGAC,6,2583.8,2639.8,2670.8,2747.4
bob_1,INLINE,6,2630.7,2665.1,2734.7,2775.1
bob_1_0,NATIVE,6,2786.6,2868.0,2900.8,3248.6
bob_1_0,FGAC,6,2599.5,2705.8,2762.3,2831.4
bob_1_0,INLINE,6,2560.9,2637.8,2659.6,2714.8
bob_5,NATIVE,6,2952.6,2974.6,3002.7,3027.7
bob_5,FGAC,6,2658.6,2759.7,2781.6,3001.1
bob_5,INLINE,6,2680.6,2769.0,2789.8,2795.8
